date,ticker,action,shares,price,value,reason
2021-01-04,XLF,BUY,74.9844,26.6722,2000.0,"月初リバランス（スコア2.6, 1M:+2.2% 3M:+20.3% 6M:+25.6% 12M:-3.0%）"
2021-01-04,XLB,BUY,61.6204,32.4568,2000.0,"月初リバランス（スコア3.8, 1M:+1.7% 3M:+13.8% 6M:+24.1% 12M:+22.7%）"
2021-01-05,XLB,SELL,10.1797,33.1856,337.82,個別株資金捻出（CELH）
2021-01-06,XLB,SELL,9.5262,34.5436,329.07,個別株資金捻出（ALB）
2021-01-06,XLB,SELL,12.2042,34.5436,421.58,個別株資金捻出（DD）
2021-01-06,XLB,SELL,12.0808,34.5436,417.32,個別株資金捻出（GS）
2021-01-06,XLB,SELL,5.5648,34.5436,192.23,個別株資金捻出（WBD）
2021-01-07,XLB,SELL,9.962,34.8016,346.69,個別株資金捻出（IBKR）
2021-01-07,XLB,SELL,1.5653,34.8016,54.48,個別株資金捻出（UTHR）
2021-01-07,XLB,SELL,0.5373,34.8016,18.7,個別株資金捻出（FCX）
2021-01-07,XLF,SELL,8.6224,28.3782,244.69,個別株資金捻出（FCX）
2021-01-07,XLF,SELL,15.1234,28.3782,429.17,個別株資金捻出（MS）
2021-01-07,XLF,SELL,10.5425,28.3782,299.18,個別株資金捻出（CELH）
2021-01-07,XLF,SELL,13.8436,28.3782,392.86,個別株資金捻出（JEF）
2021-01-08,XLF,SELL,2.8171,28.3599,79.89,個別株資金捻出（ON）
2021-01-08,XLF,SELL,15.2573,28.3599,432.69,個別株資金捻出（SCCO）
2021-01-27,XLF,SELL,8.7782,26.5988,233.49,50MA割れ
2021-02-01,QQQ,BUY,6.5712,312.8855,2056.04,"月初リバランス（スコア3.1, 1M:+3.0% 3M:+16.9% 6M:+21.5% 12M:+48.0%）"
2021-02-01,XLY,BUY,25.7549,79.8313,2056.04,"月初リバランス（スコア3.9, 1M:+3.4% 3M:+13.9% 6M:+21.8% 12M:+34.1%）"
