date,balance,cash,stock_val,etf_val,sgov_val,n_stocks,etf_names
2021-01-04,4000.0,0.0,0.0,4000.0,0.0,0,XLB+XLF
2021-01-05,4076.7445101273684,23.874949177280257,336.84,3716.029560950088,0.0,1,XLB+XLF
2021-01-06,4235.32217063626,17.37669001478281,1703.528,2514.4174806214774,0.0,5,XLB+XLF
2021-01-07,4287.502411298734,5.260313928824246,3520.2147999999997,762.0272973699101,0.0,10,XLF
2021-01-08,4300.154355471208,6.456021863725937,4044.7508,248.94753360748226,0.0,11,XLF
2021-01-11,4388.071428770561,654.5584179200001,3477.3043,256.2087108505614,0.0,9,XLB+XLF
2021-01-12,4410.153157606537,326.93050445000006,3824.3633,258.8593531565372,0.0,10,XLB+XLF
2021-01-13,4476.455747773194,530.7906070900001,3687.0022,258.6629406831941,0.0,10,XLB+XLF
2021-01-14,4474.6075945318635,1256.3080808500001,2958.5058,259.79371368186344,0.0,8,XLB+XLF
2021-01-15,4472.456694270419,918.5358088500002,3298.4139999999998,255.50688542041834,0.0,9,XLB+XLF
2021-01-18,4472.456694270419,0.0,3298.4139999999998,1174.0426942704185,0.0,9,XLB+XLF
2021-01-19,4505.671299594858,1164.6649337999997,2163.528,1177.4783657948587,0.0,6,XLB+XLF
2021-01-20,4507.969357327445,1167.2460744,2164.7002,1176.0230829274449,0.0,6,XLB+XLF
2021-01-21,4572.456430963545,1248.6460743999999,2162.1902,1161.6201565635454,0.0,6,XLB+XLF
2021-01-22,4775.4538495346105,1406.6728131199998,2214.4304,1154.3506364146103,0.0,6,XLB+XLF
2021-01-25,4726.672767582184,1447.1055265999998,725.9975999999999,2553.569640982184,0.0,2,QQQ+XLY
2021-01-26,4705.135670939142,1069.2927265999997,1081.2276,2554.6153443391418,0.0,3,QQQ+XLY
2021-01-27,4694.526240220168,2214.8921666399997,0.0,2479.6340735801678,0.0,0,QQQ+XLY
2021-01-28,4685.894680064999,2195.0171666399997,0.0,2490.877513425,0.0,0,QQQ+XLY
2021-01-29,4630.647823339195,1542.9371666399998,652.0799999999999,2435.6306566991957,0.0,2,QQQ+XLY
2021-02-01,4692.717669531342,18.017879914351795,1025.1163,3649.58348961699,0.0,3,QQQ+XLY
2021-02-02,4760.2494670193955,18.017879914351795,1025.1163,3717.1152871050435,0.0,3,QQQ+XLY
2021-02-03,4742.801393849137,164.4676938397352,1314.7763,3263.557400009402,0.0,4,QQQ+XLY
2021-02-04,4779.988751738876,164.4676938397352,1314.7763,3300.7447578991414,0.0,4,QQQ+XLY
2021-02-05,4782.35280446244,796.4616196497352,666.4000000000001,3319.491184812705,0.0,2,QQQ+XLY
2021-02-08,4803.34329458393,90.3092779784493,1746.9714000000001,2966.062616605481,0.0,5,QQQ
2021-02-09,4782.241542187045,379.74976368574085,1746.9714000000001,2655.520378501303,0.0,5,QQQ
2021-02-10,4792.671185280242,57.450534904539836,2511.5716,2223.6490503757022,0.0,7,QQQ
2021-02-11,4784.430156143739,114.56831301197849,3193.3852,1476.4766431317607,0.0,9,QQQ
2021-02-12,4807.940215642852,414.65237730743985,3193.3852,1199.9026383354121,0.0,9,QQQ
2021-02-15,4807.940215642852,0.0,3193.3852,1614.555015642852,0.0,9,QQQ+XLC
2021-02-16,4818.432623322,409.27831296,2797.4116,1611.7427103620005,0.0,8,QQQ+XLC
2021-02-17,4840.537272105964,1068.62083096,2166.3114,1605.6050411459635,0.0,6,QQQ+XLC
2021-02-18,4882.592873639673,1845.1128202200005,1439.0037,1598.4763534196725,0.0,4,QQQ+XLC
2021-02-19,4874.483037449892,1447.3628202200005,1836.7537,1590.366517229892,0.0,5,QQQ+XLC
2021-02-22,4866.584286624802,431.956148619166,1836.7537,2597.8744380056355,0.0,5,XLE+XLF
2021-02-23,4852.57113189936,685.1141716191661,1542.2637,2625.1932602801935,0.0,4,XLE+XLF
2021-02-24,4895.264687991059,14.468797543485266,2777.8637,2102.9321904475732,0.0,7,XLE+XLF
2021-02-25,5158.025176876919,1511.0693225434852,1582.8827,2064.0731543334336,0.0,4,XLE+XLF
2021-02-26,5116.00676524472,1511.0693225434852,1582.8827,2022.0547427012348,0.0,4,XLE+XLF
2021-03-01,5176.354160024312,0.0,1582.8827,3593.4714600243115,0.0,4,XLE+XLF
2021-03-02,5160.971894033942,8.112505311875623,3954.5669,1198.2924887220663,0.0,10,XLE
2021-03-03,5178.532764194371,48.844652278266096,4337.2689,792.419211916105,0.0,11,XLE
2021-03-04,5109.580667158828,1421.091315138266,2877.1537,811.3356520205625,0.0,7,XLE
2021-03-05,5094.515669742734,1718.007317858266,2534.8113,841.6970518844687,0.0,6,XLE
2021-03-08,5096.643034777143,13.877602833787307,3304.7279,1778.0375319433554,0.0,8,XLE+XLF
2021-03-09,5076.831059166018,5.252680454940162,4003.9866,1067.5917787110777,0.0,10,XLE
2021-03-10,5078.926468262624,40.083872355218546,3971.4384,1067.404195907406,0.0,10,XLE
2021-03-11,5121.797312732058,791.0120650752185,3262.9814,1067.8038476568397,0.0,8,XLE
2021-03-12,5148.715665518301,807.5709457152186,3271.1438,1070.0009198030823,0.0,8,XLE
2021-03-15,5150.998019748507,10.082707252990247,4125.3993,1015.5160124955171,0.0,10,XLE
2021-03-16,5136.998406419961,14.739642052990234,4135.6973,986.5614643669705,0.0,10,XLE
2021-03-17,5166.367033091295,34.649712052990196,4137.4859,994.2314210383043,0.0,10,XLE
2021-03-18,5113.872020367178,1705.7299658529903,2458.5885,949.5535545141887,0.0,6,XLE
2021-03-19,5114.06367871236,14.408744297279156,4388.7462,710.9087344150815,0.0,11,XLE
2021-03-22,5097.694456225493,821.589528,3557.6048,718.5001282254938,0.0,9,XLC+XLE
2021-03-23,4944.048198805184,2993.025547,1242.9799,708.0427518051837,0.0,3,XLC+XLE
2021-03-24,4936.516304736049,3383.688043,827.3815,725.4467617360493,0.0,2,XLC+XLE
2021-03-25,4914.387020415361,3792.8647015,393.472,728.0503189153609,0.0,1,XLC+XLE
2021-03-26,4932.188759117835,3792.8647015,393.472,745.8520576178341,0.0,1,XLC+XLE
2021-03-29,4923.466824950975,0.0,393.472,4529.994824950975,0.0,1,XLE+XLI
2021-03-30,4909.07833028951,0.0,393.472,4515.60633028951,0.0,1,XLE+XLI
2021-03-31,4884.950363711948,0.0,393.472,4491.478363711948,0.0,1,XLE+XLI
2021-04-01,4957.303200233942,0.0,393.472,4563.831200233943,0.0,1,XLE+XLI
2021-04-02,4957.303200233942,0.0,393.472,4563.831200233943,0.0,1,XLE+XLI
2021-04-05,4917.5344770039555,68.39470001873013,1013.7285999999999,3835.411176985225,0.0,3,XLB+XLI
2021-04-06,4911.145825179847,68.39470001873013,1013.7285999999999,3829.0225251611164,0.0,3,XLB+XLI
2021-04-07,4885.8057523562065,79.01715116909878,2428.911,2377.8776011871078,0.0,6,XLI
2021-04-08,4891.552590958016,29.48284577438693,2810.0304,2052.039345183628,0.0,7,XLI
