No,Ticker,Signal,Entry Date,Exit Date,Entry Price,Exit Price,Exit Reason,P/L %,Allocated $,P/L $,Balance $
1,CELH,BUY,2021-01-05,2021-01-05,16.2600,17.4048,Trail Stop,+7.04%,$325.20,$+22.89,$4022.89
2,IBKR,BUY,2021-01-07,2021-01-07,16.4038,16.8846,Trail Stop,+2.93%,$328.08,$+9.61,$4032.51
3,UTHR,BUY,2021-01-07,2021-01-07,165.0700,169.1750,Trail Stop,+2.49%,$330.14,$+8.22,$4040.73
4,MTSI,BUY,2021-01-07,2021-01-08,57.5000,59.6907,Trail Stop,+3.81%,$287.50,$+10.95,$4051.68
5,MSTR,BUY,2021-01-05,2021-01-11,42.1050,52.6871,Trail Stop,+25.13%,$294.73,$+74.07,$4125.75
6,FCX,BUY,2021-01-07,2021-01-11,28.9880,27.2488,SL Hit,-6.00%,$318.87,$-19.13,$4106.62
7,ORA,BUY,2021-01-07,2021-01-12,102.7335,108.2442,Trail Stop,+5.36%,$308.20,$+16.52,$4123.14
8,MS,BUY,2021-01-07,2021-01-12,63.7681,65.3252,Trail Stop,+2.44%,$382.61,$+9.34,$4132.47
9,NRG,BUY,2021-01-12,2021-01-12,34.2907,35.2146,Trail Stop,+2.69%,$377.20,$+10.15,$4142.62
10,DD,BUY,2021-01-06,2021-01-13,28.1839,31.7467,Trail Stop,+12.64%,$422.76,$+53.44,$4196.05
11,ADI,BUY,2021-01-11,2021-01-13,142.6267,145.7111,Trail Stop,+2.16%,$427.88,$+9.24,$4205.30
12,GS,BUY,2021-01-06,2021-01-14,244.0611,271.9574,Pre-Earn,+11.43%,$244.06,$+27.90,$4233.19
13,AGCO,BUY,2021-01-13,2021-01-14,96.5403,99.1590,Trail Stop,+2.71%,$386.16,$+10.46,$4243.66
14,GME,BUY,2021-01-14,2021-01-14,9.5225,8.9512,SL Hit,-6.00%,$352.33,$-21.14,$4222.52
15,ON,BUY,2021-01-08,2021-01-15,36.1100,36.9857,Trail Stop,+2.43%,$397.21,$+9.65,$4232.17
16,UTHR,BUY,2021-01-12,2021-01-15,168.6200,173.2171,Trail Stop,+2.73%,$337.24,$+9.21,$4241.38
17,APTV,BUY,2021-01-14,2021-01-15,146.6700,137.8698,SL Hit,-6.00%,$293.34,$-17.60,$4223.78
18,WBD,BUY,2021-01-06,2021-01-19,32.4200,36.6043,Trail Stop,+12.91%,$324.20,$+41.85,$4265.63
19,SCCO,BUY,2021-01-08,2021-01-19,54.5270,54.3813,Pre-Earn,-0.27%,$381.69,$-1.03,$4264.60
20,CG,BUY,2021-01-13,2021-01-19,28.5810,29.2817,Trail Stop,+2.45%,$428.71,$+10.50,$4275.10
21,ALLY,BUY,2021-01-15,2021-01-19,34.2050,34.9414,Pre-Earn,+2.15%,$342.05,$+7.35,$4282.46
22,GME,BUY,2021-01-19,2021-01-19,10.3875,9.7642,SL Hit,-6.00%,$353.17,$-21.19,$4261.27
23,DD,BUY,2021-01-15,2021-01-20,31.0118,32.0361,Trail Stop,+3.30%,$341.13,$+11.26,$4272.52
24,MSTR,BUY,2021-01-15,2021-01-20,60.7100,57.0674,SL Hit,-6.00%,$303.55,$-18.21,$4254.31
25,CELH,BUY,2021-01-07,2021-01-21,17.5000,21.4451,Trail Stop,+22.54%,$332.50,$+74.95,$4329.26
26,GME,BUY,2021-01-22,2021-01-22,10.6475,17.2577,Trail Stop,+62.08%,$351.37,$+218.13,$4547.39
27,NRG,BUY,2021-01-20,2021-01-25,35.4274,36.5223,Trail Stop,+3.09%,$354.27,$+10.95,$4558.33
28,MU,BUY,2021-01-20,2021-01-25,83.8416,78.8111,SL Hit,-6.00%,$335.37,$-20.12,$4538.21
29,ASTS,BUY,2021-01-20,2021-01-25,16.2300,15.2562,SL Hit,-6.00%,$340.83,$-20.45,$4517.76
30,ON,BUY,2021-01-21,2021-01-25,38.6100,36.2934,SL Hit,-6.00%,$347.49,$-20.85,$4496.91
31,AMG,BUY,2021-01-22,2021-01-25,111.3861,114.1626,Trail Stop,+2.49%,$334.16,$+8.32,$4505.23
32,GME,BUY,2021-01-26,2021-01-26,22.1400,20.8116,SL Hit,-6.00%,$354.24,$-21.25,$4483.98
33,TRMB,BUY,2021-01-13,2021-01-27,71.6900,67.6086,SL Hit,-5.69%,$358.45,$-20.40,$4463.58
34,COHR,BUY,2021-01-20,2021-01-27,94.0600,87.0900,SL Hit,-7.41%,$282.18,$-20.91,$4442.67
35,TKO,BUY,2021-01-25,2021-01-27,52.5068,54.3650,Trail Stop,+3.54%,$367.55,$+13.01,$4455.68
36,WBD,BUY,2021-01-26,2021-01-27,39.4700,47.4430,Trail Stop,+20.20%,$355.23,$+71.76,$4527.44
37,GME,BUY,2021-01-28,2021-01-28,66.2500,62.2750,SL Hit,-6.00%,$331.25,$-19.88,$4507.56
38,PTC,BUY,2021-01-29,2021-02-05,137.6700,142.7757,Trail Stop,+3.71%,$275.34,$+10.22,$4517.78
39,TKO,BUY,2021-02-01,2021-02-05,53.2909,49.4917,SL Hit,-7.13%,$373.04,$-26.60,$4491.18
40,MSTR,BUY,2021-02-09,2021-02-09,113.7740,106.9476,SL Hit,-6.00%,$341.32,$-20.48,$4470.70
41,PSTG,BUY,2021-02-08,2021-02-10,27.4400,28.6170,Trail Stop,+4.29%,$356.72,$+15.30,$4486.01
42,MSTR,BUY,2021-02-11,2021-02-11,113.7200,106.8968,SL Hit,-6.00%,$341.16,$-20.47,$4465.54
43,WDC,BUY,2021-02-12,2021-02-12,48.5289,50.4339,Trail Stop,+3.93%,$339.70,$+13.35,$4478.89
44,HPE,BUY,2021-02-11,2021-02-16,11.9992,12.4025,Trail Stop,+3.36%,$371.98,$+12.50,$4491.39
45,WBD,BUY,2021-01-29,2021-02-17,41.8600,49.3600,Pre-Earn,+17.92%,$334.88,$+60.01,$4551.40
46,AAON,BUY,2021-02-10,2021-02-17,52.6645,49.5047,SL Hit,-6.00%,$368.65,$-22.12,$4529.28
47,MANH,BUY,2021-02-11,2021-02-17,142.9200,134.3448,SL Hit,-6.00%,$285.84,$-17.15,$4512.13
48,NWSA,BUY,2021-02-08,2021-02-18,20.3389,22.0018,Trail Stop,+8.18%,$366.10,$+29.95,$4542.07
49,TPL,BUY,2021-02-08,2021-02-18,103.2059,117.7177,Trail Stop,+14.06%,$309.62,$+43.53,$4585.61
50,PR,BUY,2021-02-17,2021-02-18,3.2531,3.0415,Pre-Earn,-6.50%,$374.11,$-24.32,$4561.29
51,QXO,BUY,2021-02-22,2021-02-22,42.8547,46.0539,Trail Stop,+7.47%,$342.84,$+25.61,$4586.90
52,WAT,BUY,2021-02-03,2021-02-23,289.6600,274.5343,SL Hit,-5.22%,$289.66,$-15.12,$4571.78
53,AR,BUY,2021-02-19,2021-02-23,9.2500,8.6400,SL Hit,-6.59%,$379.25,$-24.99,$4546.79
54,GTES,BUY,2021-02-23,2021-02-24,17.8600,16.6700,SL Hit,-6.66%,$375.06,$-24.98,$4521.81
55,WAL,BUY,2021-02-18,2021-02-25,73.8470,85.1866,Trail Stop,+15.36%,$369.23,$+56.71,$4578.52
