month,selected_return_pct,all_return_pct,outperformance_pct,selected_tickers
2018-03,-0.7274,-0.7274,0.0,COP|LHX|INTC|TDG|NOC|NEM|HII|PAAS|LMT|AMT|EOG|TSM|FANG|GD|XAR|GOLD|BA|MU|WPM|DLR|REGN|HAL|EQIX|GDX|ON|ASML|RIG|LRCX|DIA|XLE|NVDA|AG|RTX|VRTX|IWM|CVX|OXY|XLK|SMH|SLV|XLF|GILD|BMY|XOM|LLY|QQQ|XLV|AMAT|IBB|FCX|SLB|HL|KLAC|BIIB|AVGO|DVN|HWM|AMGN|MRVL|QCOM|ABBV|AMD|RCAT
2018-04,3.6503,3.6503,-0.0,EOG|RIG|COP|OXY|HAL|CVX|FANG|XLE|DVN|INTC|TDG|AMD|EQIX|ABBV|DLR|BA|GOLD|LLY|HL|AG|BIIB|SLB|QQQ|XLK|AMGN|IWM|WPM|NVDA|XLV|DIA|XLF|GDX|LHX|XOM|NEM|AMT|SLV|ASML|PAAS|IBB|XAR|SMH|VRTX|KLAC|AVGO|RTX|HII|MRVL|GILD|MU|LMT|LRCX|NOC|BMY|AMAT|QCOM|TSM|GD|ON|RCAT|REGN|FCX|HWM
2018-05,-0.1618,-0.1618,0.0,AMD|ON|MU|NVDA|OXY|TDG|AVGO|INTC|DVN|LLY|BIIB|GOLD|BA|IWM|WPM|PAAS|SMH|COP|XLK|KLAC|AMGN|QQQ|XAR|IBB|AG|XLE|FCX|XOM|RIG|QCOM|NOC|DLR|EOG|AMT|ASML|EQIX|CVX|LRCX|GDX|RTX|DIA|MRVL|XLV|LHX|NEM|SLV|VRTX|GD|LMT|XLF|AMAT|HII|REGN|HAL|SLB|BMY|TSM|GILD|ABBV|FANG|HL|HWM|RCAT
2018-06,3.5156,3.5156,0.0,RIG|EOG|FANG|VRTX|DVN|COP|TDG|EQIX|REGN|OXY|DLR|AG|XLE|FCX|CVX|XOM|AMT|WPM|AMGN|PAAS|AMD|RCAT|LLY|MRVL|QQQ|XLK|SLB|IWM|GILD|XAR|BMY|IBB|GDX|RTX|XLV|DIA|NEM|BIIB|BA|HII|ASML|LHX|XLF|TSM|ABBV|GOLD|SMH|SLV|QCOM|AVGO|NOC|NVDA|HAL|LMT|LRCX|MU|INTC|GD|KLAC|HWM|ON|AMAT|HL
2018-07,-1.5026,-1.5026,0.0,AMD|LLY|QCOM|KLAC|LHX|TDG|HWM|DLR|LRCX|TSM|EOG|XAR|COP|ASML|RTX|DVN|AMGN|AMT|BMY|LMT|XLV|BA|OXY|XLE|HII|AMAT|GILD|DIA|CVX|VRTX|GD|GOLD|REGN|RIG|SMH|EQIX|IBB|FANG|XLF|IWM|SLB|QQQ|NVDA|FCX|MU|BIIB|MRVL|XLK|XOM|AVGO|ABBV|PAAS|SLV|NEM|WPM|GDX|AG|HAL|ON|NOC|INTC|RCAT|HL
2018-08,1.9524,1.9251,0.0273,AMD|NVDA|TSM|REGN|VRTX|QCOM|LLY|BIIB|IBB|HWM|COP|QQQ|XLK|DLR|IWM|DVN|AMGN|XLV|XAR|SMH|RIG|BMY|MU|DIA|KLAC|GILD|LHX|HII|ASML|XLF|AMT|XOM|EQIX|XLE|OXY|EOG|AVGO|LMT|TDG|INTC|RTX|MRVL|ABBV|CVX|BA|NOC|FANG|GOLD|GD|ON|LRCX|SLB|PAAS|AG|HAL|SLV|AMAT|HL|FCX|GDX|NEM|WPM|RCAT
2018-09,-10.9074,-10.9074,0.0,RIG|FANG|VRTX|EOG|NVDA|COP|LHX|LMT|AMD|BIIB|LLY|BA|OXY|AMGN|REGN|TDG|XAR|IBB|XLV|HII|RCAT|NOC|GILD|AVGO|QCOM|TSM|QQQ|RTX|XLK|XOM|GD|DIA|BMY|XLE|CVX|ABBV|INTC|SMH|IWM|VRT|WPM|GOLD|HWM|SLV|HAL|AMT|MRVL|EQIX|ASML|XLF|DVN|MU|SLB|AG|GDX|KLAC|PAAS|DLR|FCX|LRCX|NEM|AMAT|HL|ON
2018-10,1.1353,1.1353,0.0,AMT|LLY|INTC|COP|DIA|VRT|AMGN|BA|XOM|XLF|XLK|RCAT|XLV|QQQ|VRTX|QCOM|AVGO|TDG|TSM|ON|RTX|IWM|SMH|XAR|KLAC|SLV|HWM|ASML|GOLD|CVX|PAAS|XLE|NEM|IBB|BIIB|GDX|GILD|NVDA|FCX|LRCX|BMY|HII|RIG|MU|AMAT|AMD|OXY|EOG|GD|FANG|DLR|LHX|WPM|HAL|DVN|LMT|AG|EQIX|MRVL|REGN|ABBV|NOC|SLB|HL
2018-11,-7.4042,-7.4042,0.0,LLY|AMGN|TDG|VRTX|XLV|AMT|ABBV|AMD|INTC|DLR|BIIB|REGN|HWM|CVX|LRCX|AVGO|BA|GILD|DIA|IBB|AMAT|KLAC|ON|XOM|GD|XLF|QQQ|SMH|VRT|XLK|COP|IWM|LMT|NEM|FANG|QCOM|FCX|TSM|BMY|XAR|ASML|XLE|GDX|EOG|EQIX|HII|OXY|MU|SLV|MRVL|WPM|LHX|RTX|RIG|NVDA|RCAT|NOC|GOLD|HAL|PAAS|HL|DVN|SLB|AG
2018-12,9.1395,9.1329,0.0066,LLY|WPM|AG|GDX|AVGO|SLV|NEM|ABBV|PAAS|AMGN|REGN|AMT|INTC|TDG|VRT|MRVL|BA|XLV|TSM|BMY|VRTX|QCOM|COP|DIA|KLAC|SMH|BIIB|CVX|AMD|LRCX|GOLD|XLF|QQQ|DLR|XLK|AMAT|ASML|ON|LHX|IBB|XAR|HII|FANG|IWM|NOC|RIG|GD|OXY|GILD|HL|FCX|MU|NVDA|XLE|LMT|EQIX|XOM|RTX|SLB|HAL|DVN|EOG|HWM|RCAT
2019-01,3.4902,3.4902,0.0,AMD|TDG|LRCX|KLAC|REGN|BA|WPM|GDX|ON|MRVL|AMT|AMAT|AVGO|LHX|LLY|AG|XAR|MU|VRTX|ASML|HL|SMH|EQIX|NOC|SLV|NEM|QQQ|MRNA|COP|HII|IWM|DIA|RTX|LMT|IBB|XLV|BIIB|PAAS|GILD|XLK|DLR|GOLD|OXY|XLF|XLE|CVX|GD|FCX|TSM|XOM|EOG|SLB|VRT|HAL|FANG|HWM|DVN|BMY|RIG|INTC|AMGN|NVDA|ABBV|QCOM|RCAT
