month,selected_return_pct,all_return_pct,outperformance_pct,selected_tickers
2020-02,-15.8471,-19.9694,4.1224,ZM|XYZ|Z|GEN|STE|TMUS|SBAC|TW|TSLA|TEAM|SCI|TYL|SITE|VRT|ZTS|WMS|TTD|SMCI|VRTX|TJX|VICI|VRSK|WEC|TRU|RSG|WST|TT|SNX|SUI|XEL|UBER|TIGO|TTMI|WDC|SJM|STRL|ZS|SWKS|SNPS|SAIA|SPGI|SFM|WING|SO|V|TROW|TXRH|VRSN|TWLO|WM|XYL|VEEV|WTRG|WTW|ULTA|T|WDAY|XPO|WRB|UDR|WPC|SRE|SPOT|TOL|SWK|TTWO|TMHC|TER|TXN|RVTY|TKO|TGT|ZWS|SATS|STT|XP|TRMB|UNH|ZBH|ORLY|TTEK|TMO|SW|STAG|SCCO|ZBRA|STZ|LVS|WAL|VOYA|WMT|URI|TECH|TTC|SSNC|SPXC|RTX|SYY|SBUX|RYN
2020-03,15.9568,16.8505,-0.8937,ZM|GEN|ZS|VRTX|VEEV|SBAC|TYL|WST|TSLA|TEAM|SPGI|WING|STE|SANM|TMUS|WTRG|TTWO|SJM|SFM|SITE|SMCI|SNPS|UBER|XEL|VRSN|ZTS|TECH|SO|W|RYN|UNH|VMC|TER|VRT|XYZ|SW|URI|KNX|TSCO|TJX|UNP|SWKS|UHS|SYK|STAG|STT|WEC|VICI|SLAB|STLD|Z|SUI|SRE|TTC|TRMB|STZ|BG|V|TTD|SAIA|WPC|VRSK|WRB|VZ|TROW|UEC|SEIC|SPXC|WMS|SSNC|SWK|WDC|TRU|SYY|SF|SMTC|SATS|XPO|VST|VOYA|SCHW|STRL|WMB|TRV|SHW|UNM|WTW|TKR|TXT|ZBH|TMHC|USB|WMT|WAL|TW|UDR|RTX|SGI|USFD|SBUX
2020-04,10.4549,8.1647,2.2903,GEN|TSLA|WST|W|WING|UEC|RVMD|TTD|VEEV|SPOT|SAIA|TECH|WMS|ZBRA|WSM|TSCO|SITE|TEAM|URI|SWKS|SNPS|TROW|RVTY|TW|TMO|Z|VLO|SFM|SPGI|WMB|SSNC|KNX|TRU|VST|ZM|TGT|UNH|STT|ZS|SHW|TKO|SLAB|SPXC|SUI|ORLY|TRGP|TWLO|XPO|SGI|TMHC|WYNN|WY|ZWS|SYY|VRSN|TYL|VRT|SMTC|UMBF|WDC|TXN|TTMI|SCCO|WAL|XYZ|VRTX|TER|UNM|UNP|VICI|WBS|SNX|USFD|SYF|UBER|WAB|TFC|SPG|TKR|WELL|YUM|WBD|WPC|V|XOM|ZBH|SBUX|SMCI|ULTA|THC|ZTS|STRL|WCC|VRSK|SW|SSB|SBAC|TEX|TXRH|ZION
2020-05,3.3514,2.3341,1.0172,ZS|TSCO|TW|TYL|VEEV|GEN|SNPS|WSM|KNX|WST|SMTC|SPOT|ZM|TEAM|ZBRA|TWLO|VRSK|VRTX|RVTY|SAIA|SITE|SPGI|SBAC|Z|SFM|WDAY|SWKS|TOL|TECH|XPO|WMS|WING|TGT|URI|TMHC|SHW|TMO|TTWO|ZTS|TER|UNH|STE|TSLA|TMUS|VRT|TRU|TRGP|SMCI|SNX|W|SGI|UBER|WCC|XP|SW|WAL|ULTA|SCCO|ZWS|VST|XEL|VZ|UPS|UNP|ORLY|WAT|TTC|WM|RSG|TROW|VICI|STLD|V|TT|SPXC|VRSN|TRV|WTRG|TXT|XYZ|TKR|WTW|STAG|WBS|TTEK|TXN|WRB|TRMB|VNOM|WEC|YUM|UMBF|TTD|WMB|ZION|SYF|WAB|SJM|WMT|SYK
2020-06,7.2228,5.5966,1.6262,SPOT|WING|TSLA|ZM|SFM|WST|XYZ|TSCO|TER|TTD|SNX|SNPS|VEEV|TWLO|UPS|ZS|SPGI|TMUS|TMO|SWKS|VRTX|SITE|SAIA|VRSK|W|WMS|SCCO|KNX|SW|TECH|VRT|TEAM|TXN|TYL|WDAY|SMCI|TKR|TGT|STAG|TTWO|SBAC|SHW|SWK|ORLY|XP|TROW|WM|ZTS|WSM|ZBRA|SMTC|UNH|WTW|SPXC|TRMB|TRU|SGI|VRSN|URI|RVTY|UNP|TTMI|V|XPO|Z|TTEK|RSG|TOL|SLAB|TW|ZWS|STE|SEIC|WWD|STT|TMHC|SSNC|GEN|STRL|STZ|TXRH|WMT|WPC|WY|TEX|VZ|WMB|RYN|TT|TRGP|WCC|WTRG|TRV|WEC|YUM|VTR|VMC|FLS|T|VOYA
2020-07,6.2503,6.3284,-0.0781,W|UPS|WING|ORLY|RVTY|WST|SWKS|SHW|SITE|VRSK|TMO|ZTS|TT|TTWO|TWLO|WY|VEEV|XYZ|STAG|ZBRA|ZS|Z|TTEK|TROW|TER|TSCO|TGT|THC|XEL|SMCI|SCCO|TTD|SCI|SPGI|TSLA|WEC|SMTC|SGI|SBAC|SFM|VRT|TOL|SNPS|WSM|SANM|GEN|SUI|TECH|TMUS|RYN|RSG|SWK|ZM|XP|TXRH|SNX|WTW|WMT|STE|KNX|TMHC|TTMI|SAIA|WMS|UHS|TYL|WTRG|SPOT|TTC|ZBH|WPC|TRMB|VZ|TRU|URI|SSNC|WAT|WM|VICI|TIGO|SW|UNH|TXN|VTR|TXT|SPXC|XYL|BG|VRSN|WAB|WRB|SJM|VOYA|TEAM|TKR|YUM|UNP|STRL|SYK|STLD
2020-08,-1.2369,-2.2616,1.0247,TSLA|WDAY|ZM|ZS|WMT|SNPS|Z|XYZ|WST|VEEV|SCCO|ZTS|SJM|TMO|TMUS|UEC|UPS|SAIA|V|TGT|TRMB|GEN|WY|TXN|TEAM|SHW|SSNC|SPOT|TROW|SPGI|TWLO|URI|UNP|TTD|SBUX|RSG|XP|ZBRA|TT|WING|SWK|TSCO|RVTY|RYN|TKR|VRSK|VZ|KNX|SWKS|ORLY|TTWO|SW|TXRH|WCC|XYL|WMS|TTC|VRT|WM|TXT|TOL|XPO|W|ULTA|SMTC|STAG|VRTX|SGI|SNX|UNH|YUM|TTEK|WWD|ZBH|STRL|SCI|SITE|VOYA|LVS|WTW|UBER|USFD|VRSN|STT|WEC|XEL|STZ|SYK|THC|VFC|WAT|TW|SUI|RVMD|TER|WSM|SLAB|WAB|SYY|STLD
2020-09,-1.0918,0.0537,-1.1455,Z|TGT|STE|WMS|SNX|TTD|RVTY|TTC|ZTS|TOL|ZM|UPS|XYZ|SPXC|SHW|SW|TMO|TTEK|TT|VEEV|WMT|RVMD|SWKS|ZS|VRT|UNP|XYL|TXN|RSG|VMC|URI|SWK|UBER|TW|SBAC|W|TSLA|SYK|TMUS|SBUX|STRL|VRSK|SNPS|ORLY|SGI|TSCO|WEC|SAIA|SPGI|WTW|SITE|TTWO|UNH|TWLO|TKR|SJM|WST|SCCO|VZ|VICI|XEL|WY|WSM|WDAY|TRMB|TYL|SYF|TROW|TMHC|WM|WCC|TEAM|VFC|TJX|SSNC|SCHW|TXRH|ZWS|ZBH|STZ|TER|V|SYY|SO|BG|VRTX|TECH|SMTC|THC|SF|SMCI|VTR|GEN|SCI|TTMI|SANM|WRB|XPO|STAG|ULTA
2020-10,15.2398,16.872,-1.6322,TT|SCCO|SAIA|BG|TPR|RVTY|TMO|UMBF|WAT|SCHW|SCI|TKR|TXRH|WAL|SSB|SF|SHW|VMC|WEC|TYL|XYL|ZWS|TXN|STE|WBS|ZM|WMS|TEX|VRT|TTD|TTEK|SBUX|TER|TEAM|SO|TRV|TTC|TGT|SGI|STLD|SW|XPO|ZBRA|SWK|WMT|UPS|URI|TFC|TXT|XEL|STRL|WDAY|SNPS|TWLO|ZTS|SLAB|XYZ|Z|TRMB|USB|WST|LVS|SRE|TSLA|SPOT|GEN|TMUS|WSM|ZION|ZS|VICI|SMTC|YUM|SJM|SNOW|UNH|VEEV|SWKS|FLS|SITE|TECH|SSNC|TOL|UHS|RVMD|STAG|SYK|UNM|TTMI|VZ|TW|TAP|RSG|SNX|WMB|TRGP|VRSK|WWD|UBER|UNP
2020-11,5.547,5.005,0.5421,TGT|SCCO|TTD|TSLA|XYZ|TER|ZBRA|TMUS|WMT|TYL|SAIA|WSM|TEAM|TXN|SNX|WBD|TRMB|RVMD|TKR|URI|SCHW|TIGO|TTC|TT|WCC|UBER|TTWO|TWLO|XPO|VNOM|SPXC|TAP|WMS|WWD|ZS|ZM|UAL|XYL|VRT|YUM|STLD|SHW|SW|SSNC|TPR|SMTC|SF|SBUX|TRGP|SPOT|SNOW|TJX|TTEK|TEX|TTMI|SLAB|BG|VOYA|TXRH|SWK|WFC|STE|ZWS|UPS|STZ|ULTA|RTX|VFC|USFD|WDC|TECH|SYK|UMBF|TXT|RVTY|WAB|TSCO|WTRG|WYNN|SYF|WAL|SGI|SANM|WAT|TROW|SLB|VICI|Z|UNP|SCI|TSN|VRSK|UEC|SPGI|SPG|SITE|WBS|UNM|VZ|SNPS
