ticker,signal,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
AG,BUY,2017-12-19,2017-12-20,7.5731,2017-12-22,7.0385,sl_hit,-7.06,7.0385,0.0
MU,BUY,2017-12-20,2017-12-21,44.443,2017-12-26,41.1173,sl_hit,-7.48,41.1173,0.0
KLAC,BUY,2017-12-20,2017-12-21,99.4636,2017-12-29,94.0705,sl_hit,-5.42,94.0705,0.0
WPM,BUY,2017-12-19,2017-12-20,19.8168,2018-01-09,18.8839,sl_hit,-4.71,18.8839,0.0
MU,BUY,2018-01-03,2018-01-04,44.8723,2018-01-09,42.0372,sl_hit,-6.32,42.0372,0.0
RCAT,BUY,2018-01-04,2018-01-05,120.0,2018-01-09,110.4,sl_hit,-8.0,110.4,0.0
TSM,BUY,2018-01-03,2018-01-04,34.591,2018-01-10,33.7057,sl_hit,-2.56,33.7057,0.0
LRCX,BUY,2018-01-05,2018-01-08,17.5206,2018-01-25,18.0062,trailing_stop,2.77,16.7751,0.0
PAAS,BUY,2018-01-17,2018-01-18,15.065,2018-01-31,14.2407,sl_hit,-5.47,14.2407,0.0
MRVL,BUY,2018-01-04,2018-01-05,22.3511,2018-02-02,21.3808,sl_hit,-4.34,21.3808,0.0
NVDA,BUY,2018-01-03,2018-01-04,5.3342,2018-02-05,5.0684,sl_hit,-4.98,5.0684,0.0
VRTX,BUY,2018-01-08,2018-01-09,156.81,2018-02-05,161.4286,trailing_stop,2.95,150.0443,0.0
NEM,BUY,2018-01-17,2018-01-18,31.3176,2018-02-05,30.2977,sl_hit,-3.26,30.2977,0.0
AMD,BUY,2018-01-29,2018-01-30,13.12,2018-02-05,12.2129,sl_hit,-6.91,12.2129,0.0
TSM,BUY,2018-01-17,2018-01-18,36.1918,2018-02-06,34.9258,sl_hit,-3.5,34.9258,0.0
NVDA,BUY,2018-02-14,2018-02-15,6.0519,2018-03-02,5.5678,sl_hit,-8.0,5.5678,0.0
MRVL,BUY,2018-03-08,2018-03-09,23.0264,2018-03-13,21.881,sl_hit,-4.97,21.881,0.0
KLAC,BUY,2018-03-07,2018-03-08,104.9648,2018-03-19,98.8855,sl_hit,-5.79,98.8855,0.0
MU,BUY,2018-02-20,2018-02-21,44.2674,2018-03-23,52.9664,trailing_stop,19.65,40.726,0.0
TSM,BUY,2018-03-09,2018-03-12,36.9592,2018-03-23,35.3855,sl_hit,-4.26,35.3855,0.0
NVDA,BUY,2018-03-07,2018-03-08,6.0102,2018-03-27,5.6277,sl_hit,-6.36,5.6277,0.0
AMAT,BUY,2018-02-26,2018-02-27,53.6458,2018-03-28,49.3649,sl_hit,-7.98,49.3649,0.0
ASML,BUY,2018-03-07,2018-03-08,191.0132,2018-03-28,182.966,sl_hit,-4.21,182.966,0.0
VRTX,BUY,2018-02-26,2018-02-27,168.99,2018-04-02,157.8429,sl_hit,-6.6,157.8429,0.0
HII,BUY,2018-02-16,2018-02-20,224.9414,2018-04-03,220.2706,timeout_30d,-2.08,209.2684,0.0
LRCX,BUY,2018-03-06,2018-03-07,18.4147,2018-04-04,17.0435,sl_hit,-7.45,17.0435,0.0
LRCX,BUY,2018-04-17,2018-04-18,17.9146,2018-04-24,16.4814,sl_hit,-8.0,16.4814,0.0
MU,BUY,2018-04-18,2018-04-19,51.6144,2018-04-24,47.4852,sl_hit,-8.0,47.4852,0.0
NVDA,BUY,2018-04-17,2018-04-18,5.8259,2018-04-25,5.3598,sl_hit,-8.0,5.3598,0.0
NEM,BUY,2018-03-26,2018-03-27,31.4149,2018-05-08,31.8289,timeout_30d,1.32,30.1059,0.0
AMAT,BUY,2018-05-10,2018-05-11,50.7092,2018-05-18,47.9909,sl_hit,-5.36,47.9909,0.0
LRCX,BUY,2018-05-09,2018-05-10,18.0032,2018-06-07,16.8803,sl_hit,-6.24,16.8803,0.0
AG,BUY,2018-06-13,2018-06-14,7.7706,2018-06-15,7.3757,sl_hit,-5.08,7.3757,0.0
AMD,BUY,2018-05-09,2018-05-10,11.98,2018-06-21,15.7057,trailing_stop,31.1,11.1629,0.0
NVDA,BUY,2018-05-04,2018-05-07,6.0186,2018-06-22,6.2119,timeout_30d,3.21,5.657,0.0
MU,BUY,2018-05-09,2018-05-10,50.5411,2018-06-25,54.7645,trailing_stop,8.36,46.4978,0.0
PAAS,BUY,2018-05-14,2018-05-15,15.3486,2018-06-26,15.6734,timeout_30d,2.12,14.4321,0.0
AG,BUY,2018-07-05,2018-07-06,7.978,2018-07-11,7.4687,sl_hit,-6.38,7.4687,0.0
MU,BUY,2018-07-18,2018-07-19,55.8586,2018-07-23,52.2611,sl_hit,-6.44,52.2611,0.0
ASML,BUY,2018-07-20,2018-07-23,204.4564,2018-08-09,195.049,sl_hit,-4.6,195.049,0.0
VRTX,BUY,2018-06-29,2018-07-02,168.4,2018-08-13,175.05,timeout_30d,3.95,157.4671,0.0
KLAC,BUY,2018-07-31,2018-08-01,105.4188,2018-08-17,98.9388,sl_hit,-6.15,98.9388,0.0
NVDA,BUY,2018-08-07,2018-08-08,6.3617,2018-08-17,6.081,sl_hit,-4.41,6.081,0.0
VRTX,BUY,2018-08-29,2018-08-30,185.0,2018-09-06,178.8571,sl_hit,-3.32,178.8571,0.0
AMD,BUY,2018-07-06,2018-07-09,16.73,2018-09-13,31.1057,trailing_stop,85.93,15.3916,0.0
AMD,STRONG_BUY,2018-09-14,2018-09-17,31.75,2018-10-02,29.21,sl_hit,-8.0,29.21,0.0
TSM,BUY,2018-07-19,2018-07-20,34.2053,2018-10-04,36.3253,trailing_stop,6.2,33.02,0.0
NVDA,BUY,2018-08-23,2018-08-24,6.6137,2018-10-05,6.6837,timeout_30d,1.06,6.2587,0.0
VRTX,BUY,2018-09-26,2018-09-27,188.0,2018-10-10,181.0543,sl_hit,-3.69,181.0543,0.0
