ticker,signal,score,signal_date,entry_date,entry_price,exit_date,exit_price,result,pl_pct,sl_price,tp_price
MSTR,BUY,0.7618,2021-01-07,2021-01-08,56.507,2021-01-08,53.1166,sl_hit,-6.0,53.1166,0.0
ON,BUY,0.7578,2021-01-12,2021-01-13,36.82,2021-01-15,36.82,trailing_stop,0.0,34.8757,0.0
WBD,BUY,0.7958,2021-01-13,2021-01-14,37.04,2021-01-15,37.04,trailing_stop,0.0,34.8176,0.0
GME,BUY,0.7802,2021-01-15,2021-01-19,10.3875,2021-01-19,9.7642,sl_hit,-6.0,9.7642,0.0
MSTR,BUY,0.796,2021-01-11,2021-01-12,50.278,2021-01-20,57.0855,trailing_stop,13.54,47.2613,0.0
CELH,BUY,0.7675,2021-01-08,2021-01-11,19.3667,2021-01-21,21.3837,trailing_stop,10.41,18.2047,0.0
ALB,BUY,0.7794,2021-01-11,2021-01-12,167.0974,2021-01-21,167.0974,trailing_stop,0.0,157.0716,0.0
DD,STRONG_BUY,0.8481,2021-01-13,2021-01-14,31.2122,2021-01-21,31.2122,trailing_stop,0.0,29.3395,0.0
GME,BUY,0.7572,2021-01-27,2021-01-28,66.25,2021-01-28,62.275,sl_hit,-6.0,62.275,0.0
TPL,BUY,0.7538,2021-02-16,2021-02-17,121.7161,2021-02-18,114.4132,sl_hit,-6.0,114.4132,0.0
NWSA,BUY,0.7775,2021-02-16,2021-02-17,22.9877,2021-02-19,21.6084,sl_hit,-6.0,21.6084,0.0
WAL,BUY,0.7558,2021-02-24,2021-02-25,89.1736,2021-02-26,83.8232,sl_hit,-6.0,83.8232,0.0
AMG,BUY,0.7502,2021-02-10,2021-02-11,145.1676,2021-03-04,136.4575,sl_hit,-6.0,136.4575,0.0
AA,BUY,0.7596,2021-03-03,2021-03-04,28.3831,2021-03-04,26.6801,sl_hit,-6.0,26.6801,0.0
PR,BUY,0.7828,2021-03-04,2021-03-05,5.3336,2021-03-05,5.0136,sl_hit,-6.0,5.0136,0.0
OVV,STRONG_BUY,0.8063,2021-03-03,2021-03-04,23.1079,2021-03-09,23.5641,trailing_stop,1.97,21.7214,0.0
FITB,BUY,0.7796,2021-03-05,2021-03-08,30.9039,2021-03-09,30.9039,trailing_stop,0.0,29.0497,0.0
GE,BUY,0.7591,2021-03-05,2021-03-08,69.2847,2021-03-10,65.1276,sl_hit,-6.0,65.1276,0.0
CMC,STRONG_BUY,0.8127,2021-03-03,2021-03-04,26.475,2021-03-15,26.7923,pre_earnings,1.2,24.8865,0.0
AXP,STRONG_BUY,0.8219,2021-03-09,2021-03-10,137.1472,2021-03-16,137.1472,trailing_stop,0.0,128.9184,0.0
DVN,STRONG_BUY,0.8775,2021-03-08,2021-03-09,18.992,2021-03-18,17.8525,sl_hit,-6.0,17.8525,0.0
WTFC,STRONG_BUY,0.8066,2021-03-09,2021-03-10,72.073,2021-03-18,76.6954,trailing_stop,6.41,67.7486,0.0
WBS,BUY,0.7697,2021-03-05,2021-03-08,51.0819,2021-03-19,51.6093,trailing_stop,1.03,48.017,0.0
