Ticker,Trades,Wins,Losses,WinRate%,AvgPL%,TotalPL%,MaxWin%,MaxLoss%,SL_Hit,Trail_Stop,Timeout,STRONG_BUY,BUY
TSLA,10,4,6,40.0,15.12,151.21,93.63,-8.0,5,3,0,4,6
BE,3,0,3,33.3,42.8,128.41,144.41,-8.0,2,1,0,2,1
SMCI,8,3,5,37.5,9.88,79.08,56.65,-8.28,5,2,0,3,5
WBD,3,3,0,100.0,22.29,66.87,39.08,9.87,0,2,0,1,2
APP,5,4,1,80.0,12.79,63.94,29.27,-8.0,1,3,0,4,1
GLW,3,1,2,66.7,20.91,62.73,36.64,-4.16,1,0,1,2,1
FTAI,3,3,0,100.0,19.92,59.76,34.27,2.99,0,1,0,1,2
TTMI,1,1,0,100.0,56.06,56.06,56.06,56.06,0,0,0,0,1
CIEN,3,0,3,33.3,17.04,51.12,65.22,-7.62,2,1,0,2,1
APLD,5,2,3,40.0,9.35,46.77,46.62,-8.5,3,1,0,4,1
TWLO,4,2,2,50.0,11.32,45.3,60.14,-9.48,1,0,0,2,2
WST,4,4,0,100.0,11.29,45.15,28.58,1.45,0,2,0,1,3
WDC,4,1,3,25.0,10.97,43.88,65.34,-8.0,3,1,0,4,0
VRT,6,5,1,83.3,6.08,36.51,12.87,-1.32,0,3,1,3,3
EAT,2,1,1,50.0,17.7,35.39,42.49,-7.1,1,0,0,2,0
ZS,3,1,2,66.7,11.49,34.48,22.63,-4.35,0,2,1,1,2
TPR,3,1,2,66.7,10.96,32.87,33.37,-7.21,1,2,0,0,3
SCCO,5,2,3,40.0,6.34,31.71,40.02,-6.32,2,0,1,2,3
VNOM,3,1,2,66.7,10.53,31.6,17.37,-2.14,0,2,1,0,3
ANET,2,2,0,100.0,14.59,29.18,25.81,3.37,0,1,0,0,2
TKR,1,1,0,100.0,27.02,27.02,27.02,27.02,0,1,0,0,1
ROIV,3,1,2,66.7,8.94,26.82,23.31,-10.08,1,1,0,0,3
LMT,2,2,0,100.0,13.38,26.76,15.94,10.82,0,1,0,0,2
FIX,5,2,3,40.0,5.09,25.47,30.77,-10.92,3,0,0,3,2
XYZ,2,2,0,100.0,12.66,25.33,23.49,1.84,0,0,0,0,2
GE,2,2,0,100.0,12.46,24.92,12.82,12.1,0,1,0,1,1
AMD,2,2,0,100.0,12.25,24.49,15.73,8.76,0,0,0,1,1
MSTR,5,2,3,40.0,4.87,24.36,42.77,-14.11,2,2,0,3,2
NVDA,3,1,2,66.7,7.98,23.94,20.41,-7.38,1,1,0,3,0
PLTR,2,1,1,50.0,11.59,23.19,31.33,-8.14,1,1,0,2,0
GH,3,1,2,66.7,7.72,23.17,17.79,-8.0,1,2,0,1,2
ZWS,1,1,0,100.0,22.56,22.56,22.56,22.56,0,0,0,0,1
BLDR,1,1,0,100.0,22.39,22.39,22.39,22.39,0,0,0,1,0
MU,3,1,2,66.7,7.44,22.33,23.04,-8.0,1,1,0,2,1
UAL,2,1,1,50.0,10.8,21.6,29.6,-8.0,1,1,0,1,1
GM,1,1,0,100.0,20.52,20.52,20.52,20.52,0,0,0,0,1
HWM,1,1,0,100.0,20.14,20.14,20.14,20.14,0,0,0,0,1
ZBRA,2,1,1,50.0,10.06,20.12,25.91,-5.79,1,0,0,1,1
CAVA,1,1,0,100.0,19.97,19.97,19.97,19.97,0,0,0,1,0
IRM,1,1,0,100.0,18.77,18.77,18.77,18.77,0,0,0,1,0
GEN,3,1,2,66.7,6.11,18.33,21.11,-3.11,1,1,0,0,3
SGI,2,1,1,50.0,9.15,18.3,22.94,-4.64,1,0,0,0,2
ASTS,4,2,2,50.0,4.4,17.58,26.26,-8.0,2,2,0,3,1
ONON,1,1,0,100.0,17.57,17.57,17.57,17.57,0,0,0,0,1
SAIA,4,2,2,50.0,4.32,17.28,20.75,-7.43,1,2,0,2,2
STRL,3,1,2,66.7,5.7,17.09,24.57,-7.91,1,1,0,3,0
EXAS,3,0,3,33.3,5.69,17.06,22.35,-5.27,0,0,1,2,1
TMHC,1,1,0,100.0,16.17,16.17,16.17,16.17,0,0,0,1,0
UPS,3,1,2,66.7,5.37,16.12,20.58,-4.66,1,1,0,1,2
UMBF,2,2,0,100.0,7.96,15.92,15.08,0.84,0,0,0,0,2
TGT,3,1,2,66.7,5.13,15.38,15.64,-4.17,1,0,0,1,2
TLN,1,1,0,100.0,14.99,14.99,14.99,14.99,0,0,0,1,0
AHR,1,1,0,100.0,14.79,14.79,14.79,14.79,0,0,0,0,1
