strategy,ticker,entry_date,exit_date,entry_price,exit_price,pl_pct,holding_days,allocated
V2-高リターン(+ETF),PANW,2020-11-18,2021-01-06,48.33333206176758,57.368,18.69,33,648.08
V2-高リターン(+ETF),SPOT,2020-12-03,2021-01-15,317.5,321.3797,1.22,30,132.56
V2-高リターン(+ETF),MTCH,2020-10-28,2021-01-22,119.51935148134494,138.1597,15.6,59,231.71
V2-高リターン(+ETF),DVN,2021-01-07,2021-01-22,13.991245656796297,13.3863,-4.32,11,669.9
V2-高リターン(+ETF),EXPE,2020-11-10,2021-01-25,121.03828102621097,130.2473,7.61,51,424.9
V2-高リターン(+ETF),GS,2020-12-22,2021-01-25,226.8975752551599,250.0252,10.19,22,647.17
V2-高リターン(+ETF),GME,2021-01-25,2021-01-25,24.1825008392334,24.1825,0.0,1,671.38
V2-高リターン(+ETF),GME,2021-01-26,2021-01-26,22.139999389648438,22.14,0.0,1,689.81
V2-高リターン(+ETF),ZBRA,2020-11-04,2021-01-27,320.4200134277344,384.3011,19.94,57,706.53
V2-高リターン(+ETF),CLH,2020-11-11,2021-01-27,73.80000305175781,77.4662,4.97,52,658.56
V2-高リターン(+ETF),TTEK,2021-01-25,2021-01-27,27.45597384510065,25.2595,-8.0,3,237.4
V2-高リターン(+ETF),IRM,2021-01-26,2021-01-27,26.053581523916723,27.3421,4.95,2,689.81
V2-高リターン(+ETF),GME,2021-01-27,2021-01-27,88.7074966430664,81.6109,-8.0,1,689.81
V2-高リターン(+ETF),NYT,2021-01-26,2021-01-28,51.03343121651535,49.4769,-3.05,3,462.12
V2-高リターン(+ETF),GME,2021-01-28,2021-01-28,66.25,66.25,0.0,1,714.85
V2-高リターン(+ETF),LUMN,2021-01-28,2021-01-28,11.14893546018369,10.257,-8.0,1,714.85
V2-高リターン(+ETF),WBD,2021-01-28,2021-01-29,43.58000183105469,40.0936,-8.0,2,714.85
V2-高リターン(+ETF),WSM,2021-01-28,2021-01-29,65.28108717725003,60.0586,-8.0,2,256.23
V2-高リターン(+ETF),IRM,2021-01-28,2021-02-02,29.051971384990622,26.7278,-8.0,4,714.85
V2-高リターン(+ETF),KRYS,2021-01-19,2021-02-03,68.54000091552734,63.0568,-8.0,12,234.77
V2-高リターン(+ETF),PSTG,2021-02-04,2021-02-23,27.8799991607666,25.13,-9.86,13,215.99
V2-高リターン(+ETF),OSK,2021-02-24,2021-02-25,107.53252637543383,98.9299,-8.0,2,194.69
V2-高リターン(+ETF),ABT,2021-01-29,2021-02-26,109.75193829159832,109.3005,-0.41,20,701.48
V2-高リターン(+ETF),QXO,2021-02-26,2021-02-26,43.82176133442323,40.316,-8.0,1,179.11
V2-高リターン(+ETF),MIDD,2021-03-01,2021-03-01,150.82000732421875,146.6425,-2.77,1,200.85
V2-高リターン(+ETF),PTC,2021-01-29,2021-03-03,137.6699981689453,133.3547,-3.13,23,701.48
V2-高リターン(+ETF),WAT,2021-02-03,2021-03-03,289.6600036621094,270.5347,-6.6,20,657.66
V2-高リターン(+ETF),SWKS,2021-02-01,2021-03-04,151.3518126508916,150.1548,-0.79,23,686.91
V2-高リターン(+ETF),PR,2021-03-04,2021-03-17,4.090594065480417,3.9592,-3.21,10,644.51
V2-高リターン(+ETF),FANG,2021-03-05,2021-03-18,67.98387009754119,62.5452,-8.0,10,648.2
V2-高リターン(+ETF),TPL,2021-03-18,2021-03-18,178.28315041535177,164.0205,-8.0,1,644.28
V2-高リターン(+ETF),AA,2021-03-04,2021-03-23,28.383101763799267,26.1125,-8.0,14,649.22
V2-高リターン(+ETF),AGCO,2021-03-19,2021-03-23,123.14385224624255,113.2923,-8.0,3,576.31
V2-高リターン(+ETF),WDC,2021-02-01,2021-03-25,42.89120846769206,46.9402,9.44,38,206.48
V2-高リターン(+ETF),MIDD,2021-03-02,2021-04-21,160.1300048828125,158.29,-1.15,36,195.29
V2-高リターン(+ETF),SFM,2021-03-26,2021-04-26,26.34000015258789,25.8558,-1.84,21,610.06
V2-高リターン(+ETF),CDW,2021-03-29,2021-05-05,157.60415599195372,163.079,3.47,27,133.35
V2-高リターン(+ETF),HPQ,2021-03-01,2021-05-11,24.7789716663749,28.4413,14.78,51,662.53
V2-高リターン(+ETF),HIG,2021-03-19,2021-05-11,61.37525213303219,58.0636,-5.4,37,624.78
V2-高リターン(+ETF),MIDD,2021-04-22,2021-05-12,185.0800018310547,170.2736,-8.0,15,193.05
V2-高リターン(+ETF),AR,2021-05-12,2021-05-13,11.579999923706055,10.6536,-8.0,2,620.44
V2-高リターン(+ETF),AFG,2021-01-29,2021-06-08,54.65396781196193,78.8724,44.31,90,417.57
V2-高リターン(+ETF),COKE,2021-05-14,2021-06-14,31.569633276396296,39.3269,24.57,21,570.8
V2-高リターン(+ETF),NUE,2021-03-26,2021-06-17,69.25025223264197,91.107,31.56,58,610.06
V2-高リターン(+ETF),CLH,2021-05-06,2021-06-17,94.5199966430664,89.9839,-4.8,30,137.98
V2-高リターン(+ETF),VNOM,2021-06-09,2021-06-17,14.673651251754068,13.4998,-8.0,7,602.6
V2-高リターン(+ETF),GEN,2021-05-12,2021-06-18,21.613362828916195,24.3334,12.59,27,620.44
V2-高リターン(+ETF),RRC,2021-05-13,2021-06-18,11.379992097582711,13.2775,16.67,26,288.24
V2-高リターン(+ETF),NTNX,2021-06-15,2021-07-08,37.15999984741211,36.51,-1.75,17,669.23
V2-高リターン(+ETF),NVDA,2021-06-18,2021-07-15,18.74209039865033,19.089,1.85,19,695.05
V2-高リターン(+ETF),HUBS,2021-06-21,2021-07-15,588.3099975585938,550.045,-6.5,18,718.7
V2-高リターン(+ETF),FTNT,2021-06-18,2021-07-30,47.400001525878906,51.3185,8.27,30,140.08
V2-高リターン(+ETF),INVH,2021-07-09,2021-08-10,34.37641016767397,33.8743,-1.46,23,657.52
V2-高リターン(+ETF),MRNA,2021-07-16,2021-08-11,276.9200134277344,390.7266,41.1,19,710.15
V2-高リターン(+ETF),DOCU,2021-06-21,2021-08-17,268.80999755859375,281.5887,4.75,41,316.12
V2-高リターン(+ETF),AMH,2021-07-16,2021-08-17,37.04262269954162,36.1693,-2.36,23,669.72
V2-高リターン(+ETF),PFE,2021-08-18,2021-08-25,39.87452585949989,37.8126,-5.17,6,457.19
V2-高リターン(+ETF),NUE,2021-08-12,2021-09-03,113.99165209789318,106.4373,-6.63,17,765.25
V2-高リターン(+ETF),MDB,2021-09-07,2021-09-08,514.7999877929688,473.616,-8.0,2,714.54
V2-高リターン(+ETF),ACI,2021-08-11,2021-09-10,19.416663697001752,20.1773,3.92,22,647.92
V2-高リターン(+ETF),KR,2021-08-18,2021-09-10,41.08308783378862,40.4252,-1.6,17,765.21
V2-高リターン(+ETF),OTIS,2021-04-27,2021-09-16,70.84934249105333,82.7295,16.77,100,598.85
V2-高リターン(+ETF),PLTR,2021-09-17,2021-09-20,28.65999984741211,26.3672,-8.0,2,699.27
V2-高リターン(+ETF),NET,2021-06-18,2021-09-28,102.30000305175781,119.33,16.65,71,695.05
V2-高リターン(+ETF),TEAM,2021-08-02,2021-09-28,324.20001220703125,383.71,18.36,41,151.66
V2-高リターン(+ETF),WING,2021-09-13,2021-09-28,176.1765775104691,162.5687,-7.72,12,683.24
V2-高リターン(+ETF),DKS,2021-08-26,2021-09-30,113.64426214460264,114.2498,0.53,25,433.55
V2-高リターン(+ETF),DRI,2021-09-24,2021-10-18,137.92243246276624,127.9869,-7.2,17,643.33
V2-高リターン(+ETF),AFRM,2021-09-13,2021-11-10,110.20999908447266,140.3827,27.38,43,743.02
V2-高リターン(+ETF),COP,2021-09-29,2021-11-12,57.441804651237724,61.1071,6.38,33,768.38
V2-高リターン(+ETF),DASH,2021-11-15,2021-11-17,247.52000427246094,227.7184,-8.0,3,807.46
V2-高リターン(+ETF),IONQ,2021-11-18,2021-11-18,33.7400016784668,31.0408,-8.0,1,795.78
V2-高リターン(+ETF),MTDR,2021-09-29,2021-11-19,34.379817254568884,37.4506,8.93,38,83.97
V2-高リターン(+ETF),NET,2021-10-19,2021-11-22,179.5,186.8688,4.11,25,596.99
V2-高リターン(+ETF),DDOG,2021-09-09,2021-11-23,140.0,170.61,21.86,54,657.38
V2-高リターン(+ETF),PL,2021-11-23,2021-11-24,11.539999961853027,10.6228,-7.95,2,621.5
V2-高リターン(+ETF),BDC,2021-09-29,2021-11-26,60.107422551781646,63.1104,5.0,42,768.38
