date,equity
2021-01-05,4192.61
2021-01-06,4300.05
2021-01-07,4380.0
2021-01-08,4380.66
2021-01-11,4391.06
2021-01-12,4422.58
2021-01-13,4398.62
2021-01-14,4407.61
2021-01-15,4337.09
2021-01-19,4306.59
2021-01-20,4318.73
2021-01-21,4291.35
2021-01-22,4258.64
2021-01-25,4119.54
2021-01-26,3774.9
2021-01-27,4369.22
2021-01-28,4013.99
2021-01-29,3912.38
2021-02-01,4043.88
2021-02-02,4077.04
2021-02-03,4017.26
2021-02-04,4055.27
2021-02-05,4077.35
2021-02-08,4103.34
2021-02-09,4105.91
2021-02-10,4128.51
2021-02-11,4134.99
2021-02-12,4151.96
2021-02-16,4194.6
2021-02-17,4168.13
2021-02-18,4131.98
2021-02-19,4163.46
2021-02-22,4060.47
2021-02-23,4061.16
2021-02-24,4152.96
2021-02-25,4009.4
2021-02-26,3981.1
2021-03-01,4105.7
2021-03-02,4029.48
2021-03-03,4030.6
2021-03-04,4074.2
2021-03-05,4104.35
2021-03-08,4026.13
2021-03-09,4062.18
2021-03-10,4191.18
2021-03-11,4308.5
2021-03-12,4297.62
2021-03-15,4311.06
2021-03-16,4047.06
2021-03-17,4056.72
2021-03-18,3913.71
2021-03-19,3881.29
2021-03-22,3836.34
2021-03-23,3696.04
2021-03-24,3715.3
2021-03-25,3721.82
2021-03-26,3795.17
2021-03-29,3747.05
2021-03-30,3772.04
2021-03-31,3754.54
2021-04-01,3819.37
2021-04-05,3801.12
2021-04-06,3788.95
2021-04-07,3770.93
2021-04-08,3772.89
2021-04-09,3800.06
2021-04-12,3800.18
2021-04-13,3786.98
2021-04-14,3794.55
2021-04-15,3825.73
2021-04-16,3843.42
2021-04-19,3831.36
2021-04-20,3783.5
2021-04-21,3841.27
2021-04-22,3772.08
2021-04-23,3840.23
2021-04-26,3879.5
2021-04-27,3899.08
2021-04-28,3886.91
2021-04-29,3910.93
2021-04-30,3869.36
2021-05-03,3918.46
2021-05-04,3965.97
2021-05-05,3992.95
2021-05-06,4042.12
2021-05-07,4086.09
2021-05-10,4094.39
2021-05-11,4034.31
2021-05-12,3921.28
2021-05-13,3974.83
2021-05-14,4035.66
2021-05-17,4091.19
2021-05-18,4023.97
2021-05-19,3985.01
2021-05-20,4009.53
2021-05-21,4026.68
2021-05-24,4082.63
2021-05-25,4063.88
2021-05-26,4094.67
2021-05-27,4126.74
2021-05-28,4151.86
2021-06-01,4284.6
2021-06-02,4208.19
2021-06-03,4265.97
2021-06-04,4282.93
2021-06-07,4275.33
2021-06-08,4322.91
2021-06-09,4284.57
2021-06-10,4244.91
2021-06-11,4246.98
2021-06-14,4149.64
2021-06-15,4134.06
2021-06-16,4091.66
2021-06-17,4044.46
2021-06-18,4023.43
2021-06-21,4025.79
2021-06-22,4102.35
2021-06-23,4118.59
2021-06-24,4136.23
2021-06-25,4150.31
2021-06-28,4172.53
2021-06-29,4185.85
2021-06-30,4141.61
2021-07-01,4152.66
2021-07-02,4184.64
2021-07-06,4216.86
2021-07-07,4187.99
2021-07-08,4145.4
2021-07-09,4185.54
2021-07-12,4209.57
2021-07-13,4161.66
2021-07-14,4148.26
2021-07-15,4060.64
2021-07-16,4138.87
2021-07-19,4193.31
2021-07-20,4243.56
2021-07-21,4284.32
2021-07-22,4308.94
2021-07-23,4434.55
2021-07-26,4389.55
2021-07-27,4382.0
2021-07-28,4457.87
2021-07-29,4449.2
2021-07-30,4464.68
2021-08-02,4444.21
2021-08-03,4566.07
2021-08-04,4654.23
2021-08-05,4671.93
2021-08-06,4636.19
2021-08-09,4855.78
2021-08-10,4792.06
2021-08-11,4553.14
2021-08-12,4631.41
2021-08-13,4639.19
