ticker,sector,signal,final_score,momentum,value,quality,sentiment,current_price,stop_loss,stop_loss_pct,take_profit,take_profit_pct,risk_reward,atr,reason
HWM,aerospace,HOLD,0.6278,0.76,-0.6062,0.826,0.0,251.3,231.2,-8.0,277.74,10.52,1.3153238742365148,8.8144,高値圏のためディップ待ち (本来のスコアはBUY水準)
MU,semiconductor,HOLD,0.6087,0.6547,-0.1452,0.9379,0.0,417.35,383.96,-8.0,508.11,21.75,2.7182993432314757,30.2529,高値圏のためディップ待ち (本来のスコアはBUY水準)
AMAT,semiconductor,HOLD,0.5956,0.76,-0.3354,0.7187,0.0,369.83,340.24,-8.0,428.41,15.84,1.9800842148961662,19.5279,モメンタム強気(+0.76) / クオリティ強気(+0.72) / バリュー弱気(-0.34)
LRCX,semiconductor,HOLD,0.5889,0.6309,-0.4336,0.9116,0.0,237.39,218.4,-8.0,277.58,16.93,2.1164311134581926,13.3979,クオリティ強気(+0.91) / モメンタム強気(+0.63) / バリュー弱気(-0.43)
NEM,mining,HOLD,0.5776,0.5856,-0.0366,0.9492,0.0,125.4,115.37,-8.0,145.77,16.24,2.0305000339707107,6.79,クオリティ強気(+0.95) / モメンタム強気(+0.59)
PAAS,mining,HOLD,0.5616,0.6092,-0.3431,0.8567,0.0,61.21,56.31,-8.0,73.62,20.27,2.5337466209965434,4.1358,クオリティ強気(+0.86) / モメンタム強気(+0.61) / バリュー弱気(-0.34)
AG,mining,HOLD,0.5506,0.7304,-0.5484,0.6179,0.0,24.78,22.8,-8.0,30.9,24.7,3.0877073066394067,2.0404,モメンタム強気(+0.73) / クオリティ強気(+0.62) / バリュー弱気(-0.55)
HII,aerospace,HOLD,0.5496,0.76,0.2319,0.5655,0.0,443.14,407.69,-8.0,502.35,13.36,1.670042010834421,19.735,モメンタム強気(+0.76) / クオリティ強気(+0.57) / バリュー強気(+0.23)
RCAT,aerospace,HOLD,0.537,0.7247,0.1447,0.5823,0.0,12.83,11.8,-8.0,17.39,35.57,4.446678683961289,1.5214,モメンタム強気(+0.72) / クオリティ強気(+0.58) / バリュー強気(+0.14)
VAL,energy,HOLD,0.5364,0.7473,-0.0624,0.5427,0.0,92.49,85.09,-8.0,111.75,20.82,2.602550026164878,6.4189,モメンタム強気(+0.75) / クオリティ強気(+0.54)
NOC,aerospace,HOLD,0.5161,0.76,-0.1263,0.4537,0.0,736.87,677.92,-8.0,793.4,7.67,0.9589300526116697,18.8428,モメンタム強気(+0.76) / クオリティ強気(+0.45) / バリュー弱気(-0.13)
WPM,mining,HOLD,0.5037,0.465,-0.6287,0.9042,0.0,145.34,133.71,-8.0,169.32,16.5,2.0622821878972544,7.9929,クオリティ強気(+0.90) / バリュー弱気(-0.63) / モメンタム強気(+0.46)
TSM,semiconductor,HOLD,0.5007,0.4233,0.2959,0.9636,0.0,360.39,331.56,-8.0,409.2,13.54,1.6929575513501405,16.27,クオリティ強気(+0.96) / モメンタム強気(+0.42) / バリュー強気(+0.30)
ASML,semiconductor,HOLD,0.4897,0.6519,-0.4532,0.5458,0.0,1458.93,1342.22,-8.0,1611.66,10.47,1.3086197901210028,50.9116,モメンタム強気(+0.65) / クオリティ強気(+0.55) / バリュー弱気(-0.45)
VRT,datacenter,HOLD,0.4886,0.5298,-0.5642,0.7456,0.0,243.06,223.62,-8.0,292.09,20.17,2.521332705136112,16.3423,クオリティ強気(+0.75) / バリュー弱気(-0.56) / モメンタム強気(+0.53)
LMT,aerospace,HOLD,0.4725,0.76,-0.2227,0.3084,0.0,666.51,613.19,-8.0,724.44,8.69,1.0864828880426254,19.3107,モメンタム強気(+0.76) / クオリティ強気(+0.31) / バリュー弱気(-0.22)
FANG,energy,HOLD,0.4602,0.6561,-0.1278,0.4405,0.0,174.72,160.74,-8.0,190.43,8.99,1.1238900155514788,5.2364,モメンタム強気(+0.66) / クオリティ強気(+0.44) / バリュー弱気(-0.13)
KLAC,semiconductor,HOLD,0.4205,0.4519,-0.3414,0.6484,0.0,1469.9,1352.31,-8.0,1704.95,15.99,1.9988965143138597,78.3514,クオリティ強気(+0.65) / モメンタム強気(+0.45) / バリュー弱気(-0.34)
GILD,biotech,HOLD,0.4186,0.4975,-0.0106,0.5661,0.0,151.12,139.03,-8.0,164.08,8.57,1.071729862707822,4.3189,クオリティ強気(+0.57) / モメンタム強気(+0.50)
RTX,aerospace,HOLD,0.4141,0.6015,-0.0462,0.3778,0.0,205.41,188.98,-8.0,220.78,7.48,0.9353676687121457,5.1236,モメンタム強気(+0.60) / クオリティ強気(+0.38)
EQIX,datacenter,HOLD,0.4092,0.7576,-0.2483,0.1014,0.0,918.03,844.59,-8.0,1007.06,9.7,1.2122620533082187,29.6771,モメンタム強気(+0.76) / バリュー弱気(-0.25) / クオリティ強気(+0.10)
HL,mining,HOLD,0.4069,0.2798,-0.6008,0.8899,0.0,22.79,20.97,-8.0,29.19,28.07,3.5083530131898666,2.1321,クオリティ強気(+0.89) / バリュー弱気(-0.60) / モメンタム強気(+0.28)
